title,area,detailplace,square,position,roomtype,price
整租·中交蓝色海湾 3室2厅 北,南沙,南沙港,93.0,北,3室2厅1卫,2800
整租·东港花园 3室2厅 南,黄埔,文冲,110.0,南,3室2厅2卫,4500
整租·盈港国际 3室1厅 北,南沙,进港大道,140.0,北,3室1厅0卫,7000
整租·恒大山水城 3室2厅 北,增城,中新镇,130.0,北,3室2厅2卫,2500
整租·东川路 2室1厅 东北,越秀,东川路,32.0,东,2室1厅1卫,2000
整租·华丰金湾 3室2厅 南,南沙,明珠湾,98.0,南,3室2厅2卫,3800
整租·湖滨小区 4室1厅 东北,越秀,东湖,130.0,东,4室1厅1卫,9000
整租·富雅都市华庭 3室2厅 南,增城,新塘北,97.0,南,3室2厅2卫,2400
整租·南国奥园 3室2厅 错层 东南/南,番禺,汉溪长隆,156.0,东,3室2厅2卫,4800
整租·大壮国际广场 1室0厅 南,黄埔,科学城,38.0,南,1室0厅1卫,2000
整租·海伦堡流金岁月 3室2厅 东南,番禺,桥南,150.0,东,3室2厅3卫,4700
整租·珠江华景里 1室1厅 西南,天河,华景新城,45.0,西,1室1厅2卫,4500
整租·穗园小区 4室2厅 西南,天河,天润路,145.0,西,4室2厅1卫,6800
整租·保利林语山庄 5室1厅 复式 南,黄埔,科学城,295.0,南,5室1厅1卫,11500
整租·越秀可逸江畔 0室0厅 南,番禺,桥南,22.0,南,,600
整租·保利中航城二期 4室2厅 南,增城,朱村,109.99,南,4室2厅2卫,3400
整租·佳兆业城市广场 3室1厅 南,黄埔,南岗,50.0,南,3室1厅2卫,3000
整租·万博翠湖花园 7室2厅 复式 南/北,番禺,汉溪长隆,398.0,南,7室2厅4卫,15000
整租·蓬莱路 2室1厅 南,荔湾,黄沙,57.16,南,2室1厅1卫,2480
整租·叠溪花园 3室2厅 南,增城,朱村,105.0,南,3室2厅2卫,2200
合租·新世界逸彩庭园 3居室 西卧,荔湾,滘口,7.3,西,3室1厅1卫,1144
合租·小东园 4居室 南卧,越秀,东山口,10.45,南,4室1厅1卫,1921
整租·保利西海岸星海花园 1室1厅 东南,白云,金沙洲,45.58,东,1室1厅1卫,2900
整租·耀星华庭 1室1厅 东,天河,林和,24.75,东,1室1厅1卫,2500
整租·时代风华 1室1厅 南,增城,新塘北,33.0,南,1室1厅1卫,1200
整租·奥园中新城市天地 3室2厅 北/东北,增城,中新镇,76.0,北,3室2厅1卫,2200
整租·汇金国际金融中心 1室0厅 东,天河,金融城,42.0,东,1室0厅1卫,4600
整租·金茂万科都会四季 3室1厅 南,增城,白江,87.56,南,3室1厅2卫,2390
整租·金地天河公馆 3室2厅 西北,天河,黄村,89.0,西,3室2厅1卫,4300
整租·好世界公寓 1室0厅 南,越秀,建设路,36.0,南,1室0厅1卫,3285
整租·马蹄岗大街 3室2厅 东南,天河,燕塘,70.0,东,3室2厅1卫,1300
整租·民航小区松云街 3室2厅 南,白云,机场路,103.0,南,3室2厅1卫,4850
整租·奥园中新城市天地 4室2厅 东南/南,增城,中新镇,98.0,东,4室2厅2卫,3000
整租·星河壹号公馆 3室1厅 东南,南沙,金洲,40.0,东,3室1厅1卫,1500
整租·奥园中新城市天地 3室2厅 北/东北,增城,中新镇,76.0,北,3室2厅1卫,2200
整租·万科云城米酷 1室1厅 北,天河,智慧城,26.0,北,1室1厅1卫,2001
整租·翔韵雅居 1室0厅 东南,海珠,滨江东,11.0,东,1室0厅0卫,1200
整租·锦绣新天地 3室2厅 东南,增城,新塘南,89.0,东,3室2厅2卫,2400
整租·奥园中新城市天地 3室2厅 北/东北,增城,中新镇,76.0,北,3室2厅1卫,2200
整租·富力天朗明居 2室1厅 北,天河,棠下,65.39,北,2室1厅1卫,3500
整租·怡乐路 1室0厅 南,海珠,中大,43.0,南,1室0厅0卫,5590
整租·百灵路 2室1厅 东南,越秀,盘福,50.0,东,2室1厅1卫,3000
整租·自在城市花园一二期 4室1厅 南,番禺,汉溪长隆,100.76,南,4室1厅2卫,3700
整租·南沙金茂湾 3室2厅 东,南沙,明珠湾,97.0,东,3室2厅2卫,4470
整租·恒大阳光半岛 3室2厅 南,南沙,万顷沙,99.0,南,3室2厅2卫,1900
整租·中国铁建国际花园 3室1厅 南,增城,朱村,92.0,南,3室1厅2卫,1500
整租·青菜岗 2室1厅 东/南/北,越秀,建设路,50.0,东,2室1厅1卫,3300
整租·翠微庄园 1室0厅 南,天河,天河公园,12.0,南,1室0厅0卫,850
整租·骏景花园 2室2厅 北,天河,棠下,75.75,北,2室2厅1卫,3400
整租·恒大阳光半岛 3室2厅 南,南沙,万顷沙,99.0,南,3室2厅2卫,1900
整租·中国铁建国际花园 3室1厅 南,增城,朱村,92.0,南,3室1厅2卫,1500
整租·青菜岗 2室1厅 东/南/北,越秀,建设路,50.0,东,2室1厅1卫,3300
整租·翠微庄园 1室0厅 南,天河,天河公园,12.0,南,1室0厅0卫,850
整租·华景新城怡景园 2室2厅 南,天河,华景新城,70.0,南,2室2厅1卫,4300
整租·萝岗敏捷广场 2室2厅 东,黄埔,科学城,61.0,东,2室2厅1卫,2000
整租·广垦天河1号 1室1厅 北,天河,沙太南,36.0,北,1室1厅1卫,3900
整租·五羊商住中心 3室2厅 东南,越秀,五羊新城,92.55,东,3室2厅1卫,4800
整租·合景天峻 2室1厅 西南,黄埔,知识城,42.0,西,2室1厅1卫,2000
整租·时代中国时代天韵 3室2厅 北,黄埔,知识城,115.0,北,3室2厅2卫,3500
整租·南沙金茂湾 3室1厅 西南,南沙,明珠湾,83.0,西,3室1厅1卫,2700
整租·奥园中新城市天地 3室2厅 东南/南,增城,中新镇,87.0,东,3室2厅2卫,2500
整租·光复中路 1室1厅 东,荔湾,龙津,37.57,东,1室1厅1卫,2300
整租·奥园中新城市天地 3室1厅 北/东北,增城,中新镇,76.0,北,3室1厅1卫,2200
整租·南国奥园 4室2厅 东/南,番禺,汉溪长隆,340.0,东,4室2厅3卫,10000
整租·奥园中新城市天地 4室2厅 东/东南/南,增城,中新镇,98.0,东,4室2厅2卫,3200
整租·逸泉映翠 3室2厅 南,从化,江埔街,95.0,南,3室2厅1卫,2100
整租·远洋小区 2室1厅 南/北,天河,林和,74.0,南,2室1厅1卫,5200
整租·茶景园 3室2厅 南,天河,五山,80.0,南,3室2厅1卫,4500
整租·第三金碧花园 1室0厅 南,海珠,金碧,12.0,南,1室0厅0卫,1300
整租·温馨家园 3室2厅 南,从化,新城片区,127.24,南,3室2厅2卫,2400
整租·万科尚城御府 1室1厅 复式 南,黄埔,南岗,32.0,南,1室1厅1卫,2000
整租·大德路 1室0厅 北,越秀,解放南,30.0,北,1室0厅1卫,3000
整租·环翠小区 3室2厅 南,增城,荔城中区,110.0,南,3室2厅2卫,1500
整租·来福园 3室1厅 南,番禺,市桥,100.0,南,3室1厅1卫,2300
整租·隆辉创意公馆  1室1厅 北,番禺,钟村,72.0,北,1室1厅1卫,2000
整租·沙园路(海珠) 1室1厅 东,海珠,沙园,38.0,东,1室1厅1卫,2200
整租·中海观园国际 3室2厅 南,天河,珠江新城东,197.0,南,3室2厅2卫,25000
整租·南华东路 2室1厅 东南/南,海珠,滨江中,50.0,东,2室1厅1卫,3200
整租·骏文雅苑 4室2厅 东,越秀,农讲所,141.84,东,4室2厅2卫,12500
整租·时代风华 3室2厅 南,增城,新塘北,90.0,南,3室2厅2卫,2600
整租·祈福新村祈福名都 4室2厅 南/北,番禺,祈福新村,163.0,南,4室2厅2卫,6500
整租·碧桂园城市花园花岸苑 3室2厅 北,增城,朱村,116.0,北,3室2厅2卫,2000
整租·招商城市主场 2室1厅 复式 北,番禺,万博,45.0,北,2室1厅1卫,4600
合租·云景花园云枫苑 4居室 东卧,白云,京溪,11.53,东,4室1厅2卫,1921
整租·易丰大厦 1室1厅 西,天河,天河公园,28.97,西,1室1厅1卫,3559
合租·瑞东花园 4居室 北卧,黄埔,文冲,13.8,北,4室1厅1卫,1606
整租·应元路 2室1厅 南,越秀,小北,75.0,南,2室1厅1卫,3800
整租·培正一横路 2室1厅 东,越秀,东山口,52.0,东,2室1厅1卫,4500
整租·金沙路 2室1厅 东,海珠,工业大道北,60.0,东,2室1厅1卫,2800
整租·招商城市主场 1室1厅 东南/南,番禺,万博,40.0,东,1室1厅1卫,2800
整租·鹤亭新村 3室1厅 东北,白云,太和,65.0,东,3室1厅1卫,900
整租·兴普紫园 1室0厅 南,黄埔,科学城,32.0,南,1室0厅1卫,1900
整租·六榕路 1室3厅 南/西南,越秀,西门口,90.0,南,1室3厅1卫,3200
整租·中泰天境 2室2厅 北,黄埔,知识城,72.0,北,2室2厅1卫,2800
整租·芳草园 2室1厅 北,天河,天润路,86.02,北,2室1厅1卫,7234
整租·凯德山海连城一期 4室2厅 南,番禺,莲花山,186.0,南,4室2厅3卫,5000
整租·青菜岗 1室1厅 南/北,越秀,建设路,40.0,南,1室1厅1卫,3200
整租·广发花园 2室1厅 西北,越秀,东风东,90.15,西,2室1厅1卫,7339
整租·翰林国际 3室2厅 南,从化,旧城区,139.93,南,3室2厅2卫,1500
整租·雅居乐·岭会 3室2厅 东南,花都,狮岭镇,98.0,东,3室2厅1卫,2200
整租·尚东阳光 2室2厅 南,增城,沙村,86.0,南,2室2厅1卫,900
整租·水荫路 1室1厅 东/西,越秀,水荫,40.0,东,1室1厅1卫,2500
整租·水荫四横路 2室1厅 南,天河,水荫,60.0,南,2室1厅1卫,3200
整租·SOLO禺意湾8号 1室1厅 南,番禺,大石,40.0,南,1室1厅1卫,1850
合租·逸景翠园 4居室 西南卧,海珠,广州大道南,10.02,西,4室1厅2卫,1533
整租·东山创意园 1室1厅 东南,白云,新市,67.0,东,1室1厅1卫,1600
整租·艺景明苑 3室2厅 南,花都,铁路西,72.63,南,3室2厅1卫,900
整租·凯旋新世界广粤尊府 4室2厅 南,天河,珠江新城东,280.0,南,4室2厅3卫,76000
整租·永福路永福西约 1室1厅 西南,越秀,黄花岗,30.0,西,1室1厅1卫,2000
合租·萝岗和苑 5居室 东卧,黄埔,科学城,11.9,东,5室1厅2卫,1459
整租·阳光城丽景湾 3室2厅 东北,南沙,进港大道,131.0,东,3室2厅2卫,2500
整租·珠江大家庭花园 3室1厅 南/北,海珠,琶洲中,138.0,南,3室1厅2卫,6200
整租·南沙万达广场 1室1厅 南,南沙,金洲,50.0,南,1室1厅1卫,1500
整租·英豪花园 3室2厅 东,海珠,东晓南,90.0,东,3室2厅1卫,4800
整租·保利平方花园 4室2厅 北,增城,永宁,106.0,北,4室2厅2卫,1800
整租·中国铁建环球中心 4室2厅 东南,南沙,南沙区府,128.0,东,4室2厅2卫,5000
整租·星汇云锦 1室0厅 北,天河,珠江新城西,12.0,北,1室0厅0卫,1100
合租·东成花苑 4居室 北卧,天河,天河公园,7.18,北,4室1厅2卫,1459
整租·琶洲新村公寓 1室0厅 南,海珠,琶洲东,38.0,南,1室0厅1卫,4000
合租·海丝知识中心 4居室 南卧,黄埔,知识城,30.0,南,4室0厅1卫,1000
整租·纵横公寓 3室2厅 南/北,海珠,赤岗,120.0,南,3室2厅2卫,6800
合租·江南西路 4居室 西南卧,海珠,江南西,26.0,西,4室0厅1卫,2000
合租·珊瑚湾畔 4居室 南卧,番禺,厦滘,20.0,南,4室0厅0卫,2100
合租·文冲回迁房八期 5居室 南卧,黄埔,文冲,11.76,南,5室1厅3卫,1879
合租·保利心语 4居室 南卧,天河,珠江新城中,10.85,南,4室1厅2卫,2299
合租·广海花园 4居室 北卧,天河,天河公园,9.4,北,4室1厅2卫,1984
整租·湾区·金融城 4室2厅 南,南沙,明珠湾,136.0,南,4室2厅2卫,3059
整租·环市东路 2室1厅 东南,越秀,环市东,60.0,东,2室1厅1卫,3500
整租·广州融创文旅城商务公寓 1室1厅 东,花都,花城街,46.0,东,1室1厅1卫,1200
合租·侨苑小区(天河区) 4居室 北卧,天河,体育中心,30.0,北,4室0厅0卫,2500
整租·华南碧桂园芳翠苑 3室2厅 北,番禺,华南碧桂园,107.0,北,3室2厅2卫,4300
合租·嘉富广场 4居室 东卧,越秀,水荫,7.22,东,4室1厅2卫,1606
整租·珠江帝景苑 4室2厅 南/北,海珠,广州塔,200.0,南,4室2厅2卫,23000
整租·广州敏捷绿湖首府 4室2厅 东南,增城,石滩镇,127.0,东,4室2厅2卫,1800
整租·侨怡苑 2室1厅 南,天河,体育中心,80.0,南,2室1厅1卫,4300
合租·珠江大家庭花园 4居室 南卧,海珠,琶洲中,11.5,南,4室1厅2卫,2131
整租·滨江西路 3室1厅 东南,海珠,滨江西,80.0,东,3室1厅1卫,3500
整租·广州雅居乐花园上善若水 1室0厅 南,番禺,雅居乐,12.0,南,1室0厅0卫,600
title,area,detailplace,square,position,roomtype,price
合租·侨林苑 3居室 北卧,天河,林和,8.25,北,3室1厅1卫,1669
整租·广州大道中 3室1厅 南,天河,体育中心,83.6,南,3室1厅1卫,4600
整租·颐德公馆 3室1厅 南,天河,珠江新城东,173.0,南,3室1厅2卫,36000
整租·共和西路 2室1厅 南,越秀,杨箕,57.0,南,2室1厅1卫,3500
合租·惠城花园 3居室 东卧,荔湾,龙津,12.7,东,3室1厅1卫,1879
合租·福金莲花园 5居室 西卧,天河,员村,18.01,西,5室1厅3卫,2341
整租·钧明欢乐世界 1室1厅 北,增城,永宁,55.0,北,1室1厅1卫,1800
整租·富力泉天下 4室2厅 东南,从化,温泉镇,146.48,东,4室2厅2卫,2600
整租·榕溪花园 1室1厅 南,白云,石井,33.0,南,1室1厅1卫,1300
合租·金海花园 4居室 北卧,天河,龙口东,8.35,北,4室1厅2卫,2089
合租·紫丹阁 4居室 北卧,海珠,江南大道中,7.0,北,4室1厅2卫,1533
合租·英豪花园 3居室 北卧,海珠,东晓南,12.8,北,3室1厅1卫,1606
合租·新庆花园 4居室 西卧,天河,珠江新城东,13.0,西,4室1厅2卫,2026
合租·翠湖山庄 4居室 东卧,天河,天河公园,26.2,东,4室1厅2卫,2268
合租·六运小区 3居室 南卧,天河,天河南,11.7,南,3室1厅1卫,1879
整租·都府社区 2室2厅 西北,越秀,公园前,61.0,西,2室2厅1卫,3200
整租·万科爱地住宅区 1室0厅 南,白云,金沙洲,12.0,南,1室0厅0卫,550
整租·五羊小区 1室1厅 东,越秀,五羊新城,30.0,东,1室1厅1卫,8300
整租·德兴路(番禺) 3室2厅 南/北,番禺,市桥,141.5,南,3室2厅2卫,3600
整租·时代新世界 3室2厅 东南/西北,天河,林和,121.0,东,3室2厅1卫,4500
整租·恒大山水郡 3室2厅 南,增城,中新镇,106.0,南,3室2厅2卫,1260
合租·海龙湾 5居室 南卧,番禺,南浦,6.21,南,5室1厅2卫,1008
合租·东怡新区东倩园 4居室 北卧,番禺,东怡新区,9.0,北,4室1厅2卫,1113
整租·元邦明月水岸 1室0厅 东/东南/南/西南/西/西北/北/东北,荔湾,西朗,12.0,东,1室0厅0卫,500
整租·名门大厦 1室1厅 东,天河,珠江新城西,137.0,东,1室1厅0卫,11000
整租·龙湖首开云峰原著 4室2厅 复式 南,黄埔,香雪,113.0,南,4室2厅3卫,4200
合租·高教花园 4居室 南卧,海珠,琶洲西,10.1,南,4室1厅2卫,1953
整租·新世界锦云峰 1室0厅 南,白云,嘉禾望岗,12.0,南,1室0厅0卫,900
整租·小北路 1室1厅 南,越秀,小北,30.0,南,1室1厅1卫,1500
合租·金海花园 4居室 东卧,天河,龙口东,5.11,东,4室1厅2卫,1396
整租·大城云山 2室1厅 西南,从化,太平镇,83.19,西,2室1厅1卫,1500
合租·文冲安置房七期 4居室 南卧,黄埔,文冲,16.97,南,4室1厅2卫,2299
合租·南雅苑 4居室 东南卧,天河,天河南,18.0,东,4室0厅1卫,1700
整租·合景天峻 1室0厅 东南,黄埔,知识城,29.5,东,1室0厅1卫,1500
整租·假日花园 2室2厅 东南,增城,白江,110.0,东,2室2厅2卫,2300
整租·香江天赋 5室2厅 东南,增城,凤凰城,130.0,东,5室2厅3卫,4500
整租·增城万达广场 1室0厅 东北,增城,增城区府,53.0,东,1室0厅1卫,1300
整租·东风中路 3室1厅 南,越秀,小北,37.44,南,3室1厅1卫,2800
合租·丽晶大厦 4居室 北卧,越秀,淘金,8.5,北,4室1厅2卫,1774
整租·丽晴轩 4室2厅 南,天河,粤垦,148.0,南,4室2厅2卫,7000
合租·文冲安置房七期 4居室 南卧,黄埔,文冲,10.4,南,4室1厅2卫,1428
整租·实地常春藤 5室2厅 南/西南,黄埔,黄埔永和,140.0,南,5室2厅2卫,3500
合租·瑞东花园 4居室 北卧,黄埔,文冲,10.11,北,4室1厅1卫,1249
整租·中大城 2室2厅 南,南沙,金洲,87.0,南,2室2厅1卫,2000
合租·天河峰景 5居室 西卧,天河,燕塘,9.64,西,5室1厅2卫,1774
整租·顺德碧桂园彩虹居 4室2厅 西,番禺,顺德碧桂园,185.0,西,4室2厅3卫,6500
整租·中交蓝色海湾 4室2厅 东南,南沙,南沙港,143.0,东,4室2厅2卫,4300
整租·新河浦二横路 4室2厅 南/北,越秀,东山口,183.0,南,4室2厅1卫,28000
整租·金科景业·雍景园 4室2厅 东南,增城,中新镇,98.0,东,4室2厅2卫,2500
整租·中国铁建环球中心 2室1厅 西南,南沙,南沙区府,129.3,西,2室1厅1卫,8000
整租·敏捷尚品国际 1室0厅 南,南沙,进港大道,66.0,南,1室0厅0卫,800
整租·淘金北路 2室1厅 南,越秀,淘金,60.0,南,2室1厅1卫,4000
合租·丽晶华庭 4居室 北卧,天河,珠江新城西,10.2,北,4室1厅2卫,2299
整租·中交汇通中心 1室1厅 北,南沙,明珠湾,56.0,北,1室1厅1卫,1600
整租·碧桂园凤凰城凤锦苑 4室2厅 东北,增城,凤凰城,198.0,东,4室2厅2卫,3800
整租·三育路 1室0厅 北,越秀,东山口,15.0,北,1室0厅0卫,1500
合租·天誉华庭 4居室 西卧,天河,龙口西,6.17,西,4室1厅1卫,1711
合租·珠江大家庭花园 4居室 北卧,海珠,琶洲中,13.29,北,4室1厅2卫,2551
整租·保利丰花园 4室1厅 南,海珠,洪德,93.0,南,4室1厅1卫,5000
整租·六运小区 1室1厅 南,天河,天河南,50.0,南,1室1厅1卫,2900
整租·越秀明珠天悦江湾 3室2厅 南,南沙,明珠湾,90.0,南,3室2厅2卫,3500
整租·星河畔月湾 3室2厅 东,南沙,横沥,125.69,东,3室2厅1卫,2500
整租·华江花园 2室1厅 南,天河,天河公园,96.41,南,2室1厅2卫,6289
整租·南珠广场 2室1厅 南,海珠,江燕路,99.0,南,2室1厅1卫,5800
整租·保利中航城花园一期 4室2厅 南,增城,朱村,104.0,南,4室2厅2卫,2000
整租·纵横公寓 1室1厅 北,海珠,赤岗,62.46,北,1室1厅1卫,4546
整租·会展世界城 2室1厅 南,海珠,琶洲东,86.22,南,2室1厅1卫,7339
整租·耀星华庭 2室1厅 北,天河,林和,89.53,北,2室1厅1卫,6468
整租·碧海大厦 3室1厅 东,海珠,客村,60.04,东,3室1厅1卫,5500
整租·星河畔月湾 3室2厅 东,南沙,横沥,125.69,东,3室2厅1卫,2500
合租·瑞东花园 4居室 北卧,黄埔,文冲,13.8,北,4室1厅1卫,1606
整租·芳草园 2室1厅 北,天河,天润路,86.02,北,2室1厅1卫,7234
整租·叠溪花园 3室2厅 东南,增城,朱村,95.3,东,3室2厅2卫,1500
合租·第三金碧花园 4居室 东北卧,海珠,金碧,16.0,东,4室1厅2卫,2299
整租·广州绿地城 1室1厅 南,黄埔,知识城,46.12,南,1室1厅1卫,1050
整租·广州足球公园 1室1厅 南,番禺,钟村,53.57,南,1室1厅1卫,2400
整租·共和苑 2室1厅 南/北,越秀,杨箕,57.0,南,2室1厅1卫,2400
合租·葛洲坝保利曼城 4居室 北卧,荔湾,广钢新城,12.0,北,4室1厅2卫,1588
整租·海龙湾 4室2厅 南,番禺,南浦,173.8,南,4室2厅2卫,6000
整租·富景花园 1室1厅 北,海珠,新港西,35.0,北,1室1厅1卫,3286
整租·五矿招商·鹭山府 3室2厅 东南,黄埔,大沙地,98.0,东,3室2厅2卫,4800
合租·广州雅居乐花园雅逸庭 4居室 西北卧,番禺,雅居乐,13.5,西,4室1厅2卫,1638
合租·逸景翠园 4居室 西南卧,海珠,广州大道南,10.02,西,4室1厅2卫,1533
整租·碧桂园玺悦 3室2厅 南,南沙,进港大道,97.84,南,3室2厅2卫,2100
合租·锦安苑 3居室 南卧,海珠,客村,17.73,南,3室1厅1卫,2131
整租·富力金港城南区 2室2厅 北,花都,花东镇,82.0,北,2室2厅1卫,1900
整租·耀星华庭 1室1厅 西,天河,林和,24.74,西,1室1厅1卫,3318
整租·黄金广场 9室2厅 南/西,荔湾,黄沙,2000.0,南,9室2厅1卫,176000
整租·雪域澜庭A2区 3室2厅 南,花都,花城街,98.0,南,3室2厅2卫,3500
整租·尚东阳光 2室1厅 北,增城,沙村,50.0,北,2室1厅1卫,2050
整租·广兴华花园 5室2厅 东,越秀,五羊新城,303.0,东,5室2厅3卫,30000
合租·群星新邨 5居室 北卧,增城,白江,13.1,北,5室1厅3卫,1249
整租·中交港湾国际 1室1厅 南,黄埔,黄埔区府,50.0,南,1室1厅1卫,3300
整租·兰亭盛荟 2室2厅 北,天河,东圃,70.88,北,2室2厅1卫,5000
整租·成业小区 3室2厅 南/北,花都,旧区,122.0,南,3室2厅1卫,1300
整租·光大花园中海锦榕湾 1室0厅 东南,海珠,工业大道北,12.0,东,1室0厅0卫,1300
整租·解放中路 2室1厅 东南,越秀,公园前,80.0,东,2室1厅1卫,3000
整租·越秀中路 1室0厅 北,越秀,农讲所,25.0,北,1室0厅1卫,1750
整租·万科城 4室2厅 南,黄埔,科学城,173.0,南,4室2厅3卫,11000
整租·大北路 1室1厅 南,番禺,市桥,33.7,南,1室1厅1卫,800
合租·越秀万力·星悦峯 4居室 北卧,黄埔,夏园,20.0,北,4室0厅4卫,1100
整租·半山雍景苑 4室2厅 南/北,天河,汇景新城,119.0,南,4室2厅2卫,6800
合租·越秀万力·星悦峯 4居室 南卧,黄埔,夏园,20.0,南,4室0厅4卫,1300
整租·荔富湖畔 2室1厅 东南,增城,朱村,76.0,东,2室1厅1卫,1500
整租·敏捷尚品国际 4室2厅 北,南沙,进港大道,80.88,北,4室2厅1卫,4300
整租·合汇·中央广场 3室2厅 南,增城,荔城中区,119.38,南,3室2厅2卫,3800
整租·珠实大院 3室2厅 南/北,越秀,建设路,123.0,南,3室2厅1卫,4700
整租·中交蓝色海湾 4室2厅 东南/西北,南沙,南沙港,177.0,东,4室2厅3卫,7000
整租·广州敏捷绿湖首府 3室2厅 北,增城,石滩镇,95.0,北,3室2厅1卫,1500
合租·嘉宝华庭 4居室 西卧,天河,龙口西,13.24,西,4室1厅2卫,2089
合租·耀星华庭 4居室 南卧,天河,林和,9.66,南,4室1厅2卫,1848
整租·碧桂园凤凰城凤馨苑 1室0厅 南,增城,凤凰城,12.0,南,1室0厅0卫,300
整租·时代风华 1室0厅 南,增城,新塘北,25.0,南,1室0厅0卫,220
整租·时代风华 1室0厅 南,增城,新塘北,25.0,南,1室0厅0卫,198
合租·盈嘉花园 5居室 北卧,天河,珠江新城中,13.71,北,5室1厅3卫,2268
整租·时代风华 1室0厅 南,增城,新塘北,25.0,南,1室0厅0卫,220
整租·时代风华 1室0厅 北,增城,新塘北,12.0,北,1室0厅0卫,160
整租·时代风华 1室0厅 南,增城,新塘北,25.0,南,1室0厅0卫,220
整租·时代风华 1室0厅 北,增城,新塘北,12.0,北,1室0厅0卫,180
合租·纵横公寓 4居室 南卧,海珠,赤岗,8.7,南,4室1厅1卫,1638
整租·敏捷绿湖首府三期 3室2厅 南,增城,石滩镇,103.46,南,3室2厅2卫,1300
合租·丽晶华庭 4居室 南卧,天河,珠江新城西,9.67,南,4室1厅2卫,2299
合租·聚侨苑 4居室 北卧,天河,天河南,6.86,北,4室1厅2卫,1533
合租·磨碟沙花苑 4居室 南卧,海珠,琶洲西,10.5,南,4室1厅2卫,3034
整租·奥园康威广场 3室2厅 北,增城,新塘北,70.0,北,3室2厅2卫,1633
整租·凯旋国际 1室1厅 南/北,花都,新区,55.0,南,1室1厅1卫,1000
合租·骏景花园 5居室 南卧,天河,棠下,20.0,南,5室1厅2卫,2131
整租·星辰财富港 0室0厅 南,天河,珠江新城西,12.0,南,,1000
合租·中海名都 4居室 西卧,海珠,滨江中,7.12,西,4室1厅2卫,1606
整租·保利世纪绿洲二期 5室2厅 南,天河,龙洞,210.0,南,5室2厅3卫,10500
整租·尚东尚筑 4室2厅 南,番禺,番禺客运站,92.0,南,4室2厅1卫,5000
整租·精彩生活大厦 3室2厅 东/东南/南,越秀,北京路,117.0,东,3室2厅2卫,11500
整租·保利西海岸瀚海花园 1室0厅 东,白云,金沙洲,12.0,东,1室0厅0卫,750
合租·历德雅舍 4居室 南卧,天河,华景新城,10.6,南,4室1厅3卫,1953
整租·东风中路 3室1厅 东南,越秀,小北,55.0,东,3室1厅1卫,2800
合租·时代玫瑰园 4居室 东卧,白云,黄边,8.0,东,4室1厅2卫,1501
合租·佰利山 4居室 西北卧,番禺,雅居乐,10.2,西,4室1厅1卫,1669
